Palerma;A$AP;SBCG;A$AP;,;A$AP;MS0001;A$AP;,;A$AP;CAMPO GRANDE;A$AP;,;A$AP;20° 28' 10'' S;;A$AP;,;A$AP;54° 40' 13'' W;A$AP;Palerma;,
Palerma;A$AP;SBCH;A$AP;,;A$AP;SC0003;A$AP;,;A$AP;SERAFIN ENOSS BERTASO;A$AP;,;A$AP;27° 8' 2'' S;;A$AP;,;A$AP;52° 39' 32'' W;A$AP;Palerma;,
Palerma;A$AP;SBCI;A$AP;,;A$AP;MA0003;A$AP;,;A$AP;BRIGADEIRO LYSIAS AUGUSTO RODRIGUES;A$AP;,;A$AP;7° 19' 14'' S;;A$AP;,;A$AP;47° 27' 31'' W;A$AP;Palerma;,
Palerma;A$AP;SBCJ;A$AP;,;A$AP;PA0006;A$AP;,;A$AP;CARAJÁS;A$AP;,;A$AP;6° 6' 55'' S;;A$AP;,;A$AP;50° 0' 5'' W;A$AP;Palerma;,
Palerma;A$AP;SBCN;A$AP;,;A$AP;GO0003;A$AP;,;A$AP;NELSON RODRIGUES GUIMARÃES;A$AP;,;A$AP;17° 43' 30'' S;;A$AP;,;A$AP;48° 36' 23'' W;A$AP;Palerma;,
Palerma;A$AP;SBCP;A$AP;,;A$AP;RJ0006;A$AP;,;A$AP;BARTOLOMEU LISANDRO;A$AP;,;A$AP;21° 42' 4'' S;;A$AP;,;A$AP;41° 18' 28'' W;A$AP;Palerma;,
Palerma;A$AP;SBCR;A$AP;,;A$AP;MS0009;A$AP;,;A$AP;CORUMBÁ;A$AP;,;A$AP;19° 0' 43'' S;;A$AP;,;A$AP;57° 40' 17'' W;A$AP;Palerma;,
Palerma;A$AP;SBCT;A$AP;,;A$AP;PR0001;A$AP;,;A$AP;AFONSO PENA;A$AP;,;A$AP;25° 31' 54'' S;;A$AP;,;A$AP;49° 10' 34'' W;A$AP;Palerma;,
Palerma;A$AP;SBCX;A$AP;,;A$AP;RS0007;A$AP;,;A$AP;HUGO CANTERGIANI;A$AP;,;A$AP;29° 11' 53'' S;;A$AP;,;A$AP;51° 11' 12'' W;A$AP;Palerma;,
Palerma;A$AP;SBCY;A$AP;,;A$AP;MT0001;A$AP;,;A$AP;MARECHAL RONDON;A$AP;,;A$AP;15° 39' 0'' S;;A$AP;,;A$AP;56° 7' 3'' W;A$AP;Palerma;,
Palerma;A$AP;SBCZ;A$AP;,;A$AP;AC0002;A$AP;,;A$AP;CRUZEIRO DO SUL;A$AP;,;A$AP;7° 35' 58'' S;;A$AP;,;A$AP;72° 46' 10'' W;A$AP;Palerma;,
Palerma;A$AP;SBDB;A$AP;,;A$AP;MS0004;A$AP;,;A$AP;AERÓDROMO PÚBLICO DE BONITO;A$AP;,;A$AP;21° 14' 50'' S;;A$AP;,;A$AP;56° 27' 9'' W;A$AP;Palerma;,
Palerma;A$AP;SBDN;A$AP;,;A$AP;SP0005;A$AP;,;A$AP;PRESIDENTE PRUDENTE;A$AP;,;A$AP;22° 10' 30'' S;;A$AP;,;A$AP;51° 25' 28'' W;A$AP;Palerma;,
Palerma;A$AP;SBDO;A$AP;,;A$AP;MS0008;A$AP;,;A$AP;DOURADOS;A$AP;,;A$AP;22° 12' 2'' S;;A$AP;,;A$AP;54° 55' 32'' W;A$AP;Palerma;,
Palerma;A$AP;SBEG;A$AP;,;A$AP;AM0001;A$AP;,;A$AP;EDUARDO GOMES;A$AP;,;A$AP;3° 2' 28'' S;;A$AP;,;A$AP;60° 3' 2'' W;A$AP;Palerma;,
Palerma;A$AP;SBEK;A$AP;,;A$AP;PA0011;A$AP;,;A$AP;JACAREACANGA;A$AP;,;A$AP;6° 14' 7'' S;;A$AP;,;A$AP;57° 46' 33'' W;A$AP;Palerma;,
Palerma;A$AP;SBFI;A$AP;,;A$AP;PR0002;A$AP;,;A$AP;CATARATAS;A$AP;,;A$AP;25° 36' 1'' S;;A$AP;,;A$AP;54° 29' 6'' W;A$AP;Palerma;,
Palerma;A$AP;SBFL;A$AP;,;A$AP;SC0001;A$AP;,;A$AP;HERCÍLIO LUZ;A$AP;,;A$AP;27° 40' 13'' S;;A$AP;,;A$AP;48° 33' 9'' W;A$AP;Palerma;,
Palerma;A$AP;SBFN;A$AP;,;A$AP;PE0003;A$AP;,;A$AP;FERNANDO DE NORONHA;A$AP;,;A$AP;3° 51' 17'' S;;A$AP;,;A$AP;32° 25' 42'' W;A$AP;Palerma;,
Palerma;A$AP;SBFS;A$AP;,;A$AP;RJ0028;A$AP;,;A$AP;FAROL DE SÃO TOMÉ;A$AP;,;A$AP;22° 1' 50'' S;;A$AP;,;A$AP;41° 4' 7'' W;A$AP;Palerma;,
Palerma;A$AP;SBFZ;A$AP;,;A$AP;CE0001;A$AP;,;A$AP;PINTO MARTINS;A$AP;,;A$AP;3° 46' 33'' S;;A$AP;,;A$AP;38° 31' 56'' W;A$AP;Palerma;,
Palerma;A$AP;SBGL;A$AP;,;A$AP;RJ0001;A$AP;,;A$AP;RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM;A$AP;,;A$AP;22° 48' 36'' S;;A$AP;,;A$AP;43° 15' 2'' W;A$AP;Palerma;,
Palerma;A$AP;SBGM;A$AP;,;A$AP;RO0006;A$AP;,;A$AP;GUAJARÁ-MIRIM;A$AP;,;A$AP;10° 47' 18'' S;;A$AP;,;A$AP;65° 16' 54'' W;A$AP;Palerma;,
Palerma;A$AP;SBGO;A$AP;,;A$AP;GO0001;A$AP;,;A$AP;SANTA GENOVEVA/GOIÂNIA;A$AP;,;A$AP;16° 37' 57'' S;;A$AP;,;A$AP;49° 13' 16'' W;A$AP;Palerma;,
Palerma;A$AP;SBGR;A$AP;,;A$AP;SP0002;A$AP;,;A$AP;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO;A$AP;,;A$AP;23° 26' 8'' S;;A$AP;,;A$AP;46° 28' 23'' W;A$AP;Palerma;,
Palerma;A$AP;SBGV;A$AP;,;A$AP;MG0032;A$AP;,;A$AP;CORONEL ALTINO MACHADO;A$AP;,;A$AP;18° 53' 46'' S;;A$AP;,;A$AP;41° 58' 60'' W;A$AP;Palerma;,
Palerma;A$AP;SBGW;A$AP;,;A$AP;SP0076;A$AP;,;A$AP;GUARATINGUETÁ;A$AP;,;A$AP;22° 47' 30'' S;;A$AP;,;A$AP;45° 12' 16'' W;A$AP;Palerma;,
Palerma;A$AP;SBHT;A$AP;,;A$AP;PA0003;A$AP;,;A$AP;ALTAMIRA;A$AP;,;A$AP;3° 15' 3'' S;;A$AP;,;A$AP;52° 15' 8'' W;A$AP;Palerma;,
Palerma;A$AP;SBIC;A$AP;,;A$AP;AM0012;A$AP;,;A$AP;ITACOATIARA;A$AP;,;A$AP;3° 7' 35'' S;;A$AP;,;A$AP;58° 28' 54'' W;A$AP;Palerma;,
Palerma;A$AP;SBIH;A$AP;,;A$AP;PA0010;A$AP;,;A$AP;ITAITUBA;A$AP;,;A$AP;4° 14' 32'' S;;A$AP;,;A$AP;56° 0' 3'' W;A$AP;Palerma;,
Palerma;A$AP;SBIL;A$AP;,;A$AP;BA0004;A$AP;,;A$AP;BAHIA - JORGE AMADO;A$AP;,;A$AP;14° 48' 54'' S;;A$AP;,;A$AP;39° 2' 0'' W;A$AP;Palerma;,
Palerma;A$AP;SBIP;A$AP;,;A$AP;MG0007;A$AP;,;A$AP;USIMINAS;A$AP;,;A$AP;19° 28' 14'' S;;A$AP;,;A$AP;42° 29' 17'' W;A$AP;Palerma;,
