C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SBGV;MG0032;CORONEL ALTINO MACHADO;GOVERNADOR VALADARES;MG;18‌ 53' 46'' S;41‌ 58' 60'' W
SBGW;SP0076;GUARATINGUET‌;GUARATINGUET‌;SP;22‌ 47' 30'' S;45‌ 12' 16'' W
SBHT;PA0003;ALTAMIRA;ALTAMIRA;PA;3‌ 15' 3'' S;52‌ 15' 8'' W
SBIC;AM0012;ITACOATIARA;ITACOATIARA;AM;3‌ 7' 35'' S;58‌ 28' 54'' W
SBIH;PA0010;ITAITUBA;ITAITUBA;PA;4‌ 14' 32'' S;56‌ 0' 3'' W
SBIL;BA0004;BAHIA - JORGE AMADO;ILH‌US;BA;14‌ 48' 54'' S;39‌ 2' 0'' W
SBIP;MG0007;USIMINAS;SANTANA DO PARA‌SO;MG;19‌ 28' 14'' S;42‌ 29' 17'' W
SBIZ;MA0002;PREFEITO RENATO MOREIRA;IMPERATRIZ;MA;5‌ 31' 50'' S;47‌ 27' 30'' W
SBJA;SC0005;REGIONAL SUL;JAGUARUNA;SC;28‌ 40' 31'' S;49‌ 3' 34'' W
SBJD;SP0031;COMANDANTE ROLIM ADOLFO AMARO;JUNDIA‌;SP;23‌ 10' 54'' S;46‌ 56' 37'' W
SBJE;CE0003;COMANDANTE ARISTON PESSOA;CRUZ;CE;2‌ 54' 24'' S;40‌ 21' 29'' W
SBJF;MG0016;FRANCISCO DE ASSIS;JUIZ DE FORA;MG;21‌ 47' 35'' S;43‌ 23' 8'' W
SBJH;SP1176;S‌O PAULO CATARINA AEROPORTO EXECUTIVO;S‌O ROQUE;SP;23‌ 25' 37'' S;47‌ 9' 57'' W
SBJI;RO0005;JI-PARAN‌;JI-PARAN‌;RO;10‌ 52' 14'' S;61‌ 50' 48'' W
SBJP;PB0001;PRESIDENTE CASTRO PINTO;JO‌O PESSOA;PB;7‌ 8' 54'' S;34‌ 57' 1'' W
SBJR;RJ0005;JACAREPAGU‌ - ROBERTO MARINHO;RIO DE JANEIRO;RJ;22‌ 59' 15'' S;43‌ 22' 12'' W
SBJU;CE0002;ORLANDO BEZERRA DE MENEZES;JUAZEIRO DO NORTE;CE;7‌ 13' 9'' S;39‌ 16' 10'' W
SBJV;SC0004;LAURO CARNEIRO DE LOYOLA;JOINVILLE;SC;26‌ 13' 23'' S;48‌ 47' 52'' W
SBKG;PB0003;PRESIDENTE JO‌O SUASSUNA;CAMPINA GRANDE;PB;7‌ 16' 9'' S;35‌ 53' 42'' W
SBKP;SP0003;VIRACOPOS;CAMPINAS;SP;23‌ 0' 25'' S;47‌ 8' 4'' W
SBLE;BA0006;HOR‌CIO DE MATTOS;LEN‌‌IS;BA;12‌ 28' 56'' S;41‌ 16' 37'' W
SBLJ;SC0007;LAGES;LAGES;SC;27‌ 46' 56'' S;50‌ 16' 54'' W
SBLO;PR0003;GOVERNADOR JOS‌ RICHA;LONDRINA;PR;23‌ 19' 49'' S;51‌ 8' 12'' W
SBLP;BA0037;BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13‌ 15' 41'' S;43‌ 24' 27'' W
SBMA;PA0004;JO‌O CORR‌A DA ROCHA;MARAB‌;PA;5‌ 22' 5'' S;49‌ 8' 17'' W
SBMD;PA0009;MONTE DOURADO;ALMEIRIM;PA;0‌ 53' 23'' S;52‌ 36' 8'' W
SBME;RJ0004;MACA‌;MACA‌;RJ;22‌ 20' 34'' S;41‌ 45' 50'' W
SBMG;PR0004;S‌LVIO NAME J‌NIOR;MARING‌;PR;23‌ 28' 35'' S;52‌ 1' 4'' W
SBMI;RJ0009;MARIC‌;MARIC‌;RJ;22‌ 55' 5'' S;42‌ 49' 44'' W
SBMK;MG0004;M‌RIO RIBEIRO;MONTES CLAROS;MG;16‌ 42' 22'' S;43‌ 49' 19'' W
SBML;SP0014;FRANK MILOYE MILENKOVICH;MAR‌LIA;SP;22‌ 11' 49'' S;49‌ 55' 35'' W
SBMO;AL0001;ZUMBI DOS PALMARES;MACEI‌;AL;9‌ 30' 39'' S;35‌ 47' 30'' W
SBMQ;AP0001;ALBERTO ALCOLUMBRE;MACAP‌;AP;0‌ 3' 2'' N;51‌ 4' 20'' W
SBMS;RN0002;DIX-SEPT ROSADO;MOSSOR‌;RN;5‌ 11' 45'' S;37‌ 21' 42'' W
SBMT;SP0007;CAMPO DE MARTE;S‌O PAULO;SP;23‌ 30' 24'' S;46‌ 38' 2'' W
SBMY;AM0015;MANICOR‌;MANICOR‌;AM;5‌ 48' 40'' S;61‌ 16' 42'' W
SBNF;SC0002;MINISTRO VICTOR KONDER;NAVEGANTES;SC;26‌ 52' 43'' S;48‌ 39' 3'' W
SBNM;RS0008;SANTO ‌NGELO;SANTO ‌NGELO;RS;28‌ 16' 54'' S;54‌ 10' 6'' W
SBNV;GO0002;AER‌DROMO NACIONAL DE AVIA‌‌O;GOI‌NIA;GO;16‌ 37' 32'' S;49‌ 20' 58'' W
SBOI;AP0002;OIAPOQUE;OIAPOQUE;AP;3‌ 51' 41'' N;51‌ 47' 46'' W
SBPA;RS0001;SALGADO FILHO;PORTO ALEGRE;RS;29‌ 59' 41'' S;51‌ 10' 16'' W
SBPB;PI0002;AEROPORTO INTERNACIONAL DE PARNA‌BA / PREFEITO DOUTOR JO‌O SILVA FILHO;PARNA‌BA;PI;2‌ 53' 36'' S;41‌ 43' 49'' W
SBPC;MG0018;EMBAIXADOR WALTHER MOREIRA SALLES;PO‌OS DE CALDAS;MG;21‌ 50' 33'' S;46‌ 34' 10'' W
SBPF;RS0006;LAURO KURTZ;PASSO FUNDO;RS;28‌ 14' 39'' S;52‌ 19' 42'' W
SBPG;PR0012;COMANDANTE ANT‌NIO AMILTON BERALDO;PONTA GROSSA;PR;25‌ 11' 4'' S;50‌ 8' 38'' W
SBPJ;TO0001;BRIGADEIRO LYSIAS RODRIGUES;PALMAS;TO;10‌ 17' 24'' S;48‌ 21' 28'' W
SBPK;RS0005;JO‌O SIM‌ES LOPES NETO;PELOTAS;RS;31‌ 42' 58'' S;52‌ 19' 52'' W
SBPL;PE0002;AEROPORTO INTERNACIONAL SENADOR NILO COELHO;PETROLINA;PE;9‌ 22' 3'' S;40‌ 33' 49'' W
SBPO;PR0018;AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;26‌ 13' 2'' S;52‌ 41' 40'' W
SBPP;MS0005;AEROPORTO INTERNACIONAL DE PONTA POR‌;PONTA POR‌;MS;22‌ 32' 59'' S;55‌ 42' 11'' W
SBPS;BA0002;PORTO SEGURO;PORTO SEGURO;BA;16‌ 26' 17'' S;39‌ 4' 40'' W
SBPV;RO0001;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PORTO VELHO;RO;8‌ 42' 49'' S;63‌ 54' 10'' W
SBRB;AC0001;PL‌CIDO DE CASTRO;RIO BRANCO;AC;9‌ 52' 6'' S;67‌ 53' 53'' W
