C‌DIGO OACI;CIAD;NOME;MUNIC‌PIO ATENDIDO;UF;LATITUDE;LONGITUDE
SJAU;TO0007;ARAGUACEMA;ARAGUACEMA;TO;8‌ 50' 16'' S;49‌ 33' 28'' W
SJBY;MA0007;JO‌O SILVA;SANTA IN‌S;MA;3‌ 39' 16'' S;45‌ 20' 43'' W
SJGU;TO0005;ARAGUATINS;ARAGUATINS;TO;5‌ 41' 9'' S;48‌ 6' 51'' W
SJOG;RO0008;ARIQUEMES;ARIQUEMES;RO;9‌ 52' 50'' S;63‌ 2' 50'' W
SJQN;GO0006;QUIRIN‌POLIS;QUIRIN‌POLIS;GO;18‌ 26' 46'' S;50‌ 24' 33'' W
SJRG;RS0013;REGIONAL DE RIO GRANDE;RIO GRANDE;RS;32‌ 5' 1'' S;52‌ 10' 4'' W
SJTS;PA0028;TERRA SANTA;TERRA SANTA;PA;2‌ 4' 22'' S;56‌ 29' 20'' W
SJVO;GO0030;ARAGAR‌AS;ARAGAR‌AS;GO;15‌ 53' 58'' S;52‌ 14' 27'' W
SJXI;MG0311;SANTA RITA DO SAPUCA‌;SANTA RITA DO SAPUCA‌;MG;22‌ 16' 22'' S;45‌ 38' 24'' W
SJZA;PB0004;PEDRO VIEIRA MOREIRA;CAJAZEIRAS;PB;6‌ 52' 58'' S;38‌ 36' 57'' W
SN3Y;BA0251;NOVO AEROPORTO DE BOM JESUS DA LAPA;BOM JESUS DA LAPA;BA;13‌ 16' 21'' S;43‌ 18' 53'' W
SN6L;CE0164;DR. LUCIANO DE ARRUDA COELHO;SOBRAL;CE;3‌ 36' 53'' S;40‌ 13' 56'' W
SNAB;PE0009;ARARIPINA;ARARIPINA;PE;7‌ 35' 11'' S;40‌ 32' 7'' W
SNAE;PE0007;ARCOVERDE;ARCOVERDE;PE;8‌ 24' 28'' S;37‌ 5' 18'' W
SNAG;MG0020;ARAGUARI;ARAGUARI;MG;18‌ 40' 5'' S;48‌ 11' 25'' W
SNAL;AL0003;ARAPIRACA;ARAPIRACA;AL;9‌ 46' 35'' S;36‌ 37' 50'' W
SNAP;MG0021;JANA‌BA;JANA‌BA;MG;15‌ 43' 55'' S;43‌ 19' 23'' W
SNAR;MG0033;CIRILO QUEIR‌Z;ALMENARA;MG;16‌ 9' 57'' S;40‌ 41' 3'' W
SNAS;MG0022;TR‌S MARIAS;TR‌S MARIAS;MG;18‌ 13' 30'' S;45‌ 11' 26'' W
SNAX;SP0016;MARCELO PIRES HALZHAUSEN;ASSIS;SP;22‌ 38' 19'' S;50‌ 27' 21'' W
SNBA;SP0013;CHAFEI AMSEI;BARRETOS;SP;20‌ 35' 8'' S;48‌ 35' 45'' W
SNBC;MA0006;BARRA DO CORDA;BARRA DO CORDA;MA;5‌ 30' 9'' S;45‌ 12' 58'' W
SNBG;ES0005;BAIXO GUANDU - AIMOR‌S;BAIXO GUANDU;ES;19‌ 29' 56'' S;41‌ 2' 31'' W
SNBI;MA0005;BACABAL;BACABAL;MA;4‌ 13' 41'' S;44‌ 49' 11'' W
SNBM;MG0051;CRISTIANO FERREIRA VARELLA;MURIA‌;MG;21‌ 7' 34'' S;42‌ 23' 40'' W
SNBR;BA0011;DOM RICARDO WEBERBERGER;BARREIRAS;BA;12‌ 4' 45'' S;45‌ 0' 34'' W
SNBS;MA0010;BALSAS;BALSAS;MA;7‌ 31' 31'' S;46‌ 3' 12'' W
SNBX;BA0028;BARRA;BARRA;BA;11‌ 4' 52'' S;43‌ 8' 51'' W
SNBZ;BA0042;PARAMIRIM;PARAMIRIM;BA;13‌ 29' 26'' S;42‌ 13' 45'' W
SNCA;MG0031;CAMPO BELO;CAMPO BELO;MG;20‌ 53' 33'' S;45‌ 20' 8'' W
SNCP;SC0181;AEROPORTO REGIONAL DO PLANALTO SERRANO;LAGES;SC;27‌ 38' 3'' S;50‌ 21' 30'' W
SNCS;CE0009;CAMPOS SALES;CAMPOS SALES;CE;7‌ 3' 6'' S;40‌ 21' 30'' W
SNCT;MG0056;CARATINGA;UBAPORANGA;MG;19‌ 43' 31'' S;42‌ 6' 44'' W
SNCX;ES0004;COLATINA;COLATINA;ES;19‌ 29' 15'' S;40‌ 34' 46'' W
SNCZ;MG0059;PONTE NOVA;PONTE NOVA;MG;20‌ 24' 11'' S;42‌ 55' 0'' W
SNDC;PA0030;REDEN‌‌O;REDEN‌‌O;PA;8‌ 1' 52'' S;49‌ 58' 47'' W
SNDT;MG0030;JUSCELINO KUBITSCHEK;DIAMANTINA;MG;18‌ 13' 56'' S;43‌ 39' 1'' W
SNDV;MG0015;BRIGADEIRO ANT‌NIO CABRAL;DIVIN‌POLIS;MG;20‌ 10' 55'' S;44‌ 52' 12'' W
SNEB;PA0018;NAGIB DEMACHKI;PARAGOMINAS;PA;3‌ 1' 11'' S;47‌ 18' 59'' W
SNED;BA0023;S‌CRATES REZENDE;CANAVIEIRAS;BA;15‌ 39' 59'' S;38‌ 57' 19'' W
SNEE;RS0004;VACARIA NOVO;VACARIA;RS;28‌ 25' 55'' S;51‌ 1' 22'' W
SNFE;MG0012;COMANDANTE PASCHOAL PATROC‌NIO FILHO;ALFENAS;MG;21‌ 25' 53'' S;45‌ 55' 56'' W
SNFO;MG0060;FORMIGA;FORMIGA;MG;20‌ 23' 41'' S;45‌ 28' 59'' W
SNFU;MG0063;FRUTAL;FRUTAL;MG;20‌ 0' 17'' S;48‌ 57' 32'' W
SNFX;PA0013;S‌O F‌LIX DO XINGU;S‌O F‌LIX DO XINGU;PA;6‌ 38' 29'' S;51‌ 57' 8'' W
SNGA;ES0007;GUARAPARI;GUARAPARI;ES;20‌ 38' 47'' S;40‌ 29' 30'' W
SNGB;PI0011;GILBU‌S;GILBU‌S;PI;9‌ 50' 1'' S;45‌ 22' 2'' W
SNGD;PI0005;GUADALUPE;GUADALUPE;PI;6‌ 46' 59'' S;43‌ 34' 51'' W
SNGG;PI0007;BOM JESUS DO GURGU‌IA;BOM JESUS;PI;9‌ 3' 34'' S;44‌ 22' 9'' W
SNGI;BA0009;AER‌DROMO DE GUANAMBI;GUANAMBI;BA;14‌ 12' 29'' S;42‌ 44' 46'' W
SNGN;PE0006;GARANHUNS;GARANHUNS;PE;8‌ 50' 4'' S;36‌ 28' 17'' W
SNGX;MG0023;GUAXUP‌;GUAXUP‌;MG;21‌ 19' 36'' S;46‌ 43' 49'' W
SNHS;PE0005;SANTA MAGALH‌ES;SERRA TALHADA;PE;8‌ 3' 41'' S;38‌ 19' 43'' W
SNIB;BA0045;ITABERABA;ITABERABA;BA;12‌ 29' 59'' S;40‌ 16' 13'' W
SNIC;BA0019;IREC‌;IREC‌;BA;11‌ 20' 24'' S;41‌ 50' 49'' W
SNIE;BA0020;CAETIT‌;CAETIT‌;BA;14‌ 0' 44'' S;42‌ 29' 38'' W
SNIG;CE0007;IGUATU;IGUATU;CE;6‌ 20' 48'' S;39‌ 17' 40'' W
SNIO;BA0010;CIP‌;CIP‌;BA;11‌ 7' 31'' S;38‌ 29' 13'' W
SNIP;BA0057;ITAPETINGA;ITAPETINGA;BA;15‌ 14' 40'' S;40‌ 16' 38'' W
SNIT;BA0046;IBOTIRAMA;IBOTIRAMA;BA;12‌ 10' 6'' S;43‌ 13' 21'' W
SNIU;BA0030;IPIA‌;IPIA‌;BA;14‌ 10' 24'' S;39‌ 41' 3'' W
SNJB;BA0062;JACOBINA;JACOBINA;BA;11‌ 9' 47'' S;40‌ 33' 12'' W
SNJK;BA0047;JEQUI‌;JEQUI‌;BA;13‌ 52' 40'' S;40‌ 4' 17'' W
SNJM;MG0050;ELIAS BREDER;MANHUA‌U;MG;20‌ 15' 35'' S;42‌ 11' 2'' W
SNJP;MG0036;JO‌O PINHEIRO;JO‌O PINHEIRO;MG;17‌ 47' 15'' S;46‌ 7' 13'' W
SNJQ;MG0053;JEQUITINHONHA;JEQUITINHONHA;MG;16‌ 26' 29'' S;41‌ 2' 14'' W
SNJR;MG0034;PREFEITO OCT‌VIO DE ALMEIDA NEVES;S‌O JO‌O DEL REI;MG;21‌ 5' 8'' S;44‌ 13' 31'' W
SNKD;MG0070;CONCEI‌‌O DO MATO DENTRO;CONCEI‌‌O DO MATO DENTRO;MG;19‌ 1' 7'' S;43‌ 26' 7'' W
SNKF;MG0071;DAS BANDEIRINHAS;CONSELHEIRO LAFAIETE;MG;20‌ 44' 19'' S;43‌ 47' 51'' W
SNKI;ES0006;AER‌DROMO DE CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES;20‌ 50' 7'' S;41‌ 11' 11'' W
SNKN;RN0004;CURRAIS NOVOS;CURRAIS NOVOS;RN;6‌ 16' 51'' S;36‌ 32' 25'' W
SNKR;PI0012;CORRENTE;CORRENTE;PI;10‌ 27' 7'' S;45‌ 8' 11'' W
SNLI;MG0040;ABAET‌;ABAET‌;MG;19‌ 9' 21'' S;45‌ 29' 42'' W
SNLN;ES0002;MUNICIPAL DE LINHARES;LINHARES;ES;19‌ 21' 19'' S;40‌ 4' 17'' W
SNLO;MG0037;S‌O LOUREN‌O;S‌O LOUREN‌O;MG;22‌ 5' 27'' S;45‌ 2' 40'' W
SNLT;PI0010;PAULISTANA;PAULISTANA;PI;8‌ 9' 59'' S;41‌ 9' 14'' W
SNMA;PA0019;MONTE ALEGRE;MONTE ALEGRE;PA;1‌ 59' 48'' S;54‌ 4' 17'' W
SNMH;GO0018;PIREN‌POLIS;PIREN‌POLIS;GO;15‌ 50' 55'' S;48‌ 58' 58'' W
SNMJ;BA0031;MARAC‌S;MARAC‌S;BA;13‌ 23' 10'' S;40‌ 27' 58'' W
SNMK;MG0017;MOCAMBINHO;JA‌BA;MG;15‌ 5' 35'' S;43‌ 58' 45'' W
SNMN;MG0075;MINAS NOVAS;MINAS NOVAS;MG;17‌ 15' 50'' S;42‌ 32' 21'' W
SNMR;BA0065;MARA‌;MARA‌;BA;14‌ 8' 36'' S;39‌ 0' 24'' W
SNMX;ES0003;S‌O MATEUS;S‌O MATEUS;ES;18‌ 43' 17'' S;39‌ 50' 1'' W
SNMZ;PA0020;PORTO DE MOZ;PORTO DE MOZ;PA;1‌ 44' 29'' S;52‌ 14' 9'' W
SNNE;MG0078;SEBASTI‌O CARLOS LEITE;S‌O JO‌O NEPOMUCENO;MG;21‌ 32' 32'' S;43‌ 1' 16'' W
SNNU;MG0041;NANUQUE;NANUQUE;MG;17‌ 49' 23'' S;40‌ 19' 47'' W
SNOE;PI0008;OEIRAS;OEIRAS;PI;7‌ 1' 8'' S;42‌ 10' 2'' W
SNOF;MG0057;OURO FINO;OURO FINO;MG;22‌ 17' 50'' S;46‌ 23' 33'' W
SNOS;MG0024;MUNICIPAL JOS‌ FIGUEIREDO;PASSOS;MG;20‌ 43' 55'' S;46‌ 39' 43'' W
SNOX;PA0014;ORIXIMIN‌;ORIXIMIN‌;PA;1‌ 42' 49'' S;55‌ 50' 9'' W
SNPA;MG0052;PAR‌ DE MINAS;PAR‌ DE MINAS;MG;19‌ 50' 33'' S;44‌ 36' 3'' W
SNPC;PI0009;PICOS;PICOS;PI;7‌ 3' 41'' S;41‌ 31' 33'' W
SNPD;MG0010;PATOS DE MINAS;PATOS DE MINAS;MG;18‌ 40' 20'' S;46‌ 29' 29'' W
SNPJ;MG0042;PATROC‌NIO;PATROC‌NIO;MG;18‌ 54' 33'' S;46‌ 58' 58'' W
SNPQ;PE0010;PESQUEIRA;PESQUEIRA;PE;8‌ 22' 29'' S;36‌ 38' 16'' W
SNPU;MG0073;COMANDANTE VIRGILIO BORIM;PARAGUA‌U;MG;21‌ 33' 41'' S;45‌ 45' 17'' W
SNPX;MG0028;PIRAPORA;PIRAPORA;MG;17‌ 18' 50'' S;44‌ 51' 31'' W
SNPY;MG0013;S‌O SEBASTI‌O DO PARA‌SO;S‌O SEBASTI‌O DO PARA‌SO;MG;20‌ 56' 54'' S;46‌ 58' 59'' W
SNQD;PB0006;SOUSA;SOUSA;PB;6‌ 47' 8'' S;38‌ 14' 2'' W
SNQG;PI0003;CANGAPARA;FLORIANO;PI;6‌ 50' 46'' S;43‌ 4' 41'' W
SNQU;BA0032;MUCUG‌;MUCUG‌;BA;13‌ 1' 54'' S;41‌ 26' 40'' W
SNQV;MG0044;CURVELO;CURVELO;MG;18‌ 44' 58'' S;44‌ 27' 29'' W
SNQX;CE0010;QUIXAD‌;QUIXAD‌;CE;4‌ 58' 44'' S;38‌ 59' 16'' W
SNRD;BA0048;PRADO;PRADO;BA;17‌ 17' 49'' S;39‌ 16' 19'' W
SNRM;BA0022;REMANSO;REMANSO;BA;9‌ 34' 48'' S;42‌ 6' 57'' W
SNRP;MG0066;RIO PARANA‌BA;RIO PARANA‌BA;MG;19‌ 12' 45'' S;46‌ 14' 26'' W
SNRU;PE0004;CARUARU;CARUARU;PE;8‌ 17' 4'' S;36‌ 0' 39'' W
SNRX;MA0009;RIACH‌O;RIACH‌O;MA;7‌ 20' 47'' S;46‌ 37' 39'' W
SNRZ;MG0049;OLIVEIRA;OLIVEIRA;MG;20‌ 42' 52'' S;44‌ 51' 55'' W
SNSE;BA0056;SENTO S‌;SENTO S‌;BA;9‌ 45' 27'' S;41‌ 51' 18'' W
SNSG;PE0008;SALGUEIRO;SALGUEIRO;PE;8‌ 2' 48'' S;39‌ 8' 2'' W
SNSI;MG0076;SANTA MARIA DO SUA‌U‌;SANTA MARIA DO SUA‌U‌;MG;18‌ 11' 55'' S;42‌ 27' 58'' W
SNSM;PA0029;SALIN‌POLIS;SALIN‌POLIS;PA;0‌ 41' 47'' S;47‌ 20' 12'' W
SNSS;MG0029;SALINAS;SALINAS;MG;16‌ 12' 30'' S;42‌ 19' 19'' W
SNTF;BA0016;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;17‌ 31' 28'' S;39‌ 40' 6'' W
SNTI;PA0016;‌BIDOS;‌BIDOS;PA;1‌ 52' 5'' S;55‌ 30' 52'' W
SNTO;MG0048;JUSCELINO KUBITSCHECK;TE‌FILO OTONI;MG;17‌ 53' 27'' S;41‌ 30' 54'' W
SNTQ;BA0053;BURITIRAMA;BURITIRAMA;BA;10‌ 43' 18'' S;43‌ 39' 13'' W
SNTS;PB0005;BRIGADEIRO FIRMINO AYRES;PATOS;PB;7‌ 2' 16'' S;37‌ 15' 27'' W
SNUB;MG0058;UB‌;UB‌;MG;21‌ 7' 12'' S;42‌ 53' 1'' W
SNUH;MG0054;PIUMHI;PIUMHI;MG;20‌ 26' 20'' S;45‌ 59' 32'' W
SNUI;MG0045;ARA‌UA‌;ARA‌UA‌;MG;16‌ 51' 7'' S;42‌ 2' 46'' W
SNUN;MG0055;UNA‌;UNA‌;MG;16‌ 21' 14'' S;46‌ 55' 37'' W
SNVB;BA0008;VALEN‌A;VALEN‌A;BA;13‌ 17' 47'' S;38‌ 59' 33'' W
SNVC;MG0074;VI‌OSA;VI‌OSA;MG;20‌ 44' 42'' S;42‌ 50' 29'' W
SNVD;BA0050;SANTA MARIA DA VIT‌RIA;SANTA MARIA DA VIT‌RIA;BA;13‌ 24' 17'' S;44‌ 13' 23'' W
SNVI;MG0035;MELLO VIANA;TR‌S CORA‌‌ES;MG;21‌ 47' 21'' S;45‌ 16' 5'' W
SNVS;PA0015;BREVES;BREVES;PA;1‌ 38' 11'' S;50‌ 26' 36'' W
SNWC;CE0011;CAMOCIM;CAMOCIM;CE;2‌ 53' 45'' S;40‌ 51' 32'' W
SNWS;CE0005;CRATE‌S;CRATE‌S;CE;5‌ 12' 40'' S;40‌ 42' 15'' W
SNXB;MG0025;CAXAMBU;CAXAMBU;MG;21‌ 55' 3'' S;44‌ 58' 10'' W
SNXQ;BA0018;XIQUE-XIQUE;XIQUE-XIQUE;BA;10‌ 50' 3'' S;42‌ 41' 0'' W
SNYA;PA0024;AER‌DROMO P‌BLICO DE ALMEIRIM;ALMEIRIM;PA;1‌ 28' 45'' S;52‌ 34' 41'' W
SNYB;MG0047;TITO TEIXEIRA;ITUIUTABA;MG;19‌ 0' 5'' S;49‌ 29' 14'' W
SNYE;MA0004;PINHEIRO;PINHEIRO;MA;2‌ 28' 39'' S;45‌ 6' 18'' W
SNYU;MG0014;ITURAMA;ITURAMA;MG;19‌ 43' 2'' S;50‌ 13' 13'' W
SNZA;MG0038;POUSO ALEGRE;POUSO ALEGRE;MG;22‌ 17' 20'' S;45‌ 55' 10'' W
SNZR;MG0026;PEDRO RABELO DE SOUZA;PARACATU;MG;17‌ 14' 34'' S;46‌ 52' 59'' W
SSAB;PR0024;MOIS‌S LUPION;IBAITI;PR;23‌ 45' 46'' S;50‌ 15' 47'' W
SSAE;RS0040;ARROIO GRANDE;ARROIO GRANDE;RS;32‌ 13' 45'' S;53‌ 3' 21'' W
SSAK;RS0048;CARLOS RUHL;CRUZ ALTA;RS;28‌ 39' 31'' S;53‌ 36' 41'' W
SSAN;PR0032;JO‌O GALDINO;ANDIR‌;PR;23‌ 1' 38'' S;50‌ 13' 37'' W
SSAP;PR0014;CAPIT‌O JO‌O BUSSE;APUCARANA;PR;23‌ 36' 44'' S;51‌ 23' 6'' W
SSAQ;RS0036;AEROCLUBE DE PASSO FUNDO;PASSO FUNDO;RS;28‌ 15' 2'' S;52‌ 31' 0'' W
SSBL;SC0019;BLUMENAU;BLUMENAU;SC;26‌ 49' 54'' S;49‌ 5' 37'' W
SSBN;RS0002;BEL‌M NOVO;PORTO ALEGRE;RS;30‌ 11' 21'' S;51‌ 10' 57'' W
SSBV;MS0011;BELA VISTA;BELA VISTA;MS;22‌ 4' 56'' S;56‌ 32' 18'' W
SSCB;SP0044;MUNICIPAL DE CASA BRANCA;CASA BRANCA;SP;21‌ 47' 17'' S;47‌ 3' 20'' W
SSCD;MS0007;CHAPAD‌O DO SUL;CHAPAD‌O DO SUL;MS;18‌ 50' 21'' S;52‌ 29' 17'' W
SSCI;MS0012;COXIM;COXIM;MS;18‌ 28' 53'' S;54‌ 42' 57'' W
SSCK;SC0010;OLAVO CECCO RIGON;CONC‌RDIA;SC;27‌ 10' 50'' S;52‌ 3' 4'' W
SSCL;MS0018;CASSIL‌NDIA;CASSIL‌NDIA;MS;19‌ 8' 49'' S;51‌ 40' 35'' W
SSCN;RS0019;CANELA;CANELA;RS;29‌ 22' 14'' S;50‌ 49' 56'' W
SSCP;PR0015;FRANCISCO LACERDA J‌NIOR;CORN‌LIO PROC‌PIO;PR;23‌ 9' 9'' S;50‌ 36' 9'' W
SSCR;PR0016;RUBEN BERTA;MARECHAL C‌NDIDO RONDON;PR;24‌ 30' 46'' S;54‌ 3' 17'' W
SSCT;PR0025;ENGENHEIRO GAST‌O DE MESQUITA FILHO;CIANORTE;PR;23‌ 41' 30'' S;52‌ 38' 32'' W
SSEE;RS0054;REGIONAL DO VALE DO TAQUARI;ESTRELA;RS;29‌ 27' 12'' S;51‌ 56' 3'' W
SSEP;RS0031;S‌O SEP‌;S‌O SEP‌;RS;30‌ 10' 56'' S;53‌ 34' 46'' W
SSER;RS0018;ERECHIM;ERECHIM;RS;27‌ 39' 48'' S;52‌ 16' 19'' W
SSEZ;RS0050;ESPUMOSO;ESPUMOSO;RS;28‌ 44' 17'' S;52‌ 51' 20'' W
SSFB;PR0021;PAULO ABDALA;FRANCISCO BELTR‌O;PR;26‌ 3' 32'' S;53‌ 3' 48'' W
SSFL;PI0006;JO‌O PEREIRA DOS SANTOS FILHO;FRONTEIRAS;PI;7‌ 6' 0'' S;40‌ 37' 42'' W
SSGA;RS0020;GARIBALDI;GARIBALDI;RS;29‌ 16' 6'' S;51‌ 31' 56'' W
SSGB;PR0035;MUNICIPAL DE GUARATUBA;GUARATUBA;PR;25‌ 52' 50'' S;48‌ 36' 44'' W
SSGG;PR0009;AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOM‌S DE FARIA;GUARAPUAVA;PR;25‌ 23' 18'' S;51‌ 31' 25'' W
SSGW;PR0037;MANOEL RIBAS;GOIOER‌;PR;24‌ 13' 11'' S;53‌ 2' 38'' W
SSGY;PR0023;GUA‌RA;GUA‌RA;PR;24‌ 4' 47'' S;54‌ 11' 17'' W
SSHZ;RS0037;WALTER B‌NDCHEN;HORIZONTINA;RS;27‌ 38' 18'' S;54‌ 20' 20'' W
SSIE;MS0002;TERUEL IPANEMA EST‌NCIA;CAMPO GRANDE;MS;20‌ 36' 14'' S;54‌ 35' 43'' W
SSIJ;RS0032;IJU‌;IJU‌;RS;28‌ 22' 7'' S;53‌ 50' 47'' W
SSIM;SC0009;FORQUILHINHA-CRICI‌MA;FORQUILHINHA;SC;28‌ 43' 33'' S;49‌ 25' 29'' W
SSIQ;RS0045;ITAQUI;ITAQUI;RS;29‌ 10' 19'' S;56‌ 32' 18'' W
SSIR;RS0049;IBIRUB‌;IBIRUB‌;RS;28‌ 36' 15'' S;53‌ 4' 43'' W
SSJA;SC0014;SANTA TEREZINHA;JOA‌ABA;SC;27‌ 10' 22'' S;51‌ 33' 6'' W
SSJI;MS0019;JARDIM;JARDIM;MS;21‌ 29' 34'' S;56‌ 9' 9'' W
SSJK;RS0028;J‌LIO DE CASTILHOS;J‌LIO DE CASTILHOS;RS;29‌ 9' 11'' S;53‌ 44' 36'' W
SSKG;MS0003;EST‌NCIA SANTA MARIA;CAMPO GRANDE;MS;20‌ 30' 20'' S;54‌ 31' 29'' W
SSKK;RS0052;CAP‌O DA CANOA;CAP‌O DA CANOA;RS;29‌ 45' 49'' S;50‌ 2' 13'' W
SSKM;PR0017;CAMPO MOUR‌O;CAMPO MOUR‌O;PR;24‌ 0' 9'' S;52‌ 21' 25'' W
SSKS;RS0039;BRIGADEIRO NERO MOURA;CACHOEIRA DO SUL;RS;30‌ 0' 8'' S;52‌ 56' 25'' W
SSKU;SC0016;LAURO ANT‌NIO DA COSTA;CURITIBANOS;SC;27‌ 17' 14'' S;50‌ 36' 14'' W
SSKW;RO0004;CACOAL;CACOAL;RO;11‌ 29' 44'' S;61‌ 27' 3'' W
SSKZ;RS0009;CARAZINHO;CARAZINHO;RS;28‌ 19' 18'' S;52‌ 49' 0'' W
SSLG;RS0021;S‌O LUIZ GONZAGA;S‌O LUIZ GONZAGA;RS;28‌ 22' 35'' S;55‌ 2' 15'' W
SSLN;SC0018;HELMUTH BAUNGARTEM;LONTRAS;SC;27‌ 9' 35'' S;49‌ 32' 34'' W
SSLO;PR0031;ATTILLIO ACCORSI;LOANDA;PR;22‌ 55' 4'' S;53‌ 8' 59'' W
SSLT;RS0022;GAUD‌NCIO MACHADO RAMOS;ALEGRETE;RS;29‌ 48' 45'' S;55‌ 53' 36'' W
SSMJ;MS0020;MARACAJU;MARACAJU;MS;21‌ 38' 2'' S;55‌ 8' 42'' W
SSMR;PR0026;MANOEL RIBAS;MANOEL RIBAS;PR;24‌ 31' 46'' S;51‌ 39' 6'' W
SSMT;RS0044;MOSTARDAS;MOSTARDAS;RS;31‌ 6' 4'' S;50‌ 54' 29'' W
SSNB;MS0015;ARIOSTO DA RIVA;NAVIRA‌;MS;23‌ 2' 3'' S;54‌ 10' 40'' W
SSNG;RS0046;HELIO ALVES DE OLIVEIRA;MONTENEGRO;RS;29‌ 43' 11'' S;51‌ 29' 20'' W
SSNH;RS0023;NOVO HAMBURGO;NOVO HAMBURGO;RS;29‌ 41' 57'' S;51‌ 4' 55'' W
SSNP;RS0041;ILMO ALO‌SIO BLUME;NOVA PRATA;RS;28‌ 48' 14'' S;51‌ 36' 8'' W
SSNQ;MS0016;NIOAQUE;NIOAQUE;MS;21‌ 11' 4'' S;55‌ 49' 52'' W
SSOE;SC0015;H‌LIO WASUM;S‌O MIGUEL DO OESTE;SC;26‌ 46' 52'' S;53‌ 30' 12'' W
SSOG;PR0027;ARAPONGAS;ARAPONGAS;PR;23‌ 21' 10'' S;51‌ 29' 30'' W
SSOI;SP0043;PEDERNEIRAS;PEDERNEIRAS;SP;22‌ 18' 26'' S;48‌ 46' 23'' W
SSOL;MG0027;PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO);LAVRAS;MG;21‌ 14' 26'' S;44‌ 57' 51'' W
SSOS;RS0042;OS‌RIO;OS‌RIO;RS;29‌ 54' 8'' S;50‌ 14' 57'' W
SSPG;PR0011;SANTOS DUMONT;PARANAGU‌;PR;25‌ 32' 25'' S;48‌ 31' 52'' W
SSPI;PR0010;EDU CHAVES;PARANAVA‌;PR;23‌ 5' 24'' S;52‌ 29' 19'' W
SSPL;RS0043;PALMEIRA DAS MISS‌ES;PALMEIRA DAS MISS‌ES;RS;27‌ 54' 6'' S;53‌ 19' 48'' W
SSPM;MS0013;PORTO MURTINHO;PORTO MURTINHO;MS;21‌ 42' 46'' S;57‌ 52' 45'' W
SSPN;MS0010;PARANA‌BA;PARANA‌BA;MS;19‌ 39' 4'' S;51‌ 11' 58'' W
SSPS;PR0036;DIMORVAN CARRARO;PALMAS;PR;26‌ 28' 20'' S;51‌ 58' 32'' W
SSPT;PR0028;BRAS‌LIO MARQUES;PALOTINA;PR;24‌ 20' 36'' S;53‌ 49' 43'' W
SSQC;PR0029;AGUINALDO PEREIRA LIMA;SIQUEIRA CAMPOS;PR;23‌ 40' 29'' S;49‌ 48' 56'' W
SSQP;BA0061;MONTE SANTO;MONTE SANTO;BA;10‌ 27' 55'' S;39‌ 17' 10'' W
SSQT;PR0013;MAJOR NEODO S. PEREIRA;CASTRO;PR;24‌ 48' 27'' S;49‌ 57' 34'' W
SSRE;PR0030;REALEZA;REALEZA;PR;25‌ 48' 4'' S;53‌ 30' 47'' W
SSRF;BA0034;CASTRO ALVES;CASTRO ALVES;BA;12‌ 46' 4'' S;39‌ 26' 41'' W
SSRG;SP0030;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP;24‌ 31' 54'' S;47‌ 50' 25'' W
SSRS;MA0008;BARREIRINHAS;BARREIRINHAS;MA;2‌ 45' 24'' S;42‌ 48' 12'' W
SSRU;RS0034;S‌O LOUREN‌O DO SUL;S‌O LOUREN‌O DO SUL;RS;31‌ 23' 5'' S;52‌ 1' 57'' W
SSRZ;RS0024;D‌RIO BRASIL CAPOANO DE OLIVEIRA;ROS‌RIO DO SUL;RS;30‌ 16' 39'' S;54‌ 55' 31'' W
SSSB;RS0014;S‌O BORJA;S‌O BORJA;RS;28‌ 39' 17'' S;56‌ 2' 5'' W
SSSC;RS0029;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;29‌ 41' 3'' S;52‌ 24' 44'' W
SSSD;RS0017;SOLEDADE;SOLEDADE;RS;28‌ 51' 48'' S;52‌ 32' 26'' W
SSSG;RS0035;S‌O GABRIEL;S‌O GABRIEL;RS;30‌ 20' 42'' S;54‌ 16' 4'' W
SSSS;SC0022;S‌O FRANCISCO DO SUL;S‌O FRANCISCO DO SUL;SC;26‌ 13' 16'' S;48‌ 33' 52'' W
SSST;RS0015;SANTIAGO;SANTIAGO;RS;29‌ 12' 54'' S;54‌ 50' 30'' W
SSSZ;PR0033;SERTAN‌POLIS;SERTAN‌POLIS;PR;23‌ 3' 43'' S;51‌ 0' 50'' W
SSTB;SC0013;TR‌S BARRAS;TR‌S BARRAS;SC;26‌ 7' 58'' S;50‌ 18' 35'' W
SSTE;RS0011;TORRES;TORRES;RS;29‌ 24' 54'' S;49‌ 48' 36'' W
SSUM;PR0019;ORLANDO DE CARVALHO;UMUARAMA;PR;23‌ 47' 57'' S;53‌ 18' 50'' W
SSUV;PR0034;JOS‌ CLETO;UNI‌O DA VIT‌RIA;PR;26‌ 13' 55'' S;51‌ 4' 3'' W
SSVI;SC0011;‌NGELO PONZONI;VIDEIRA;SC;26‌ 59' 59'' S;51‌ 8' 29'' W
SSVL;PR0007;TEL‌MACO BORBA (SBTL*);TEL‌MACO BORBA;PR;24‌ 18' 59'' S;50‌ 39' 8'' W
