cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
51,SBMA,PA0004,JOÃO CORRÊA DA ROCHA,MARABÁ,PA,5° 22' 5'' S,49° 8' 17'' W
52,SBMD,PA0009,MONTE DOURADO,ALMEIRIM,PA,0° 53' 23'' S,52° 36' 8'' W
53,SBME,RJ0004,MACAÉ,MACAÉ,RJ,22° 20' 34'' S,41° 45' 50'' W
54,SBMG,PR0004,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,23° 28' 35'' S,52° 1' 4'' W
55,SBMK,MG0004,MÁRIO RIBEIRO,MONTES CLAROS,MG,16° 42' 22'' S,43° 49' 19'' W
56,SBML,SP0014,FRANK MILOYE MILENKOVICH,MARÍLIA,SP,22° 11' 49'' S,49° 55' 35'' W
57,SBMO,AL0001,ZUMBI DOS PALMARES,MACEIÓ,AL,9° 30' 39'' S,35° 47' 30'' W
58,SBMQ,AP0001,ALBERTO ALCOLUMBRE,MACAPÁ,AP,0° 3' 2'' N,51° 4' 20'' W
59,SBMS,RN0002,DIX-SEPT ROSADO,MOSSORÓ,RN,5° 11' 45'' S,37° 21' 42'' W
60,SBNF,SC0002,MINISTRO VICTOR KONDER,NAVEGANTES,SC,26° 52' 43'' S,48° 39' 3'' W
61,SBNM,RS0008,SANTO ÂNGELO,SANTO ÂNGELO,RS,28° 16' 54'' S,54° 10' 6'' W
62,SBPA,RS0001,SALGADO FILHO,PORTO ALEGRE,RS,29° 59' 41'' S,51° 10' 16'' W
63,SBPB,PI0002,AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO,PARNAÍBA,PI,2° 53' 36'' S,41° 43' 49'' W
64,SBPF,RS0006,LAURO KURTZ,PASSO FUNDO,RS,28° 14' 39'' S,52° 19' 42'' W
65,SBPG,PR0012,COMANDANTE ANTÔNIO AMILTON BERALDO,PONTA GROSSA,PR,25° 11' 4'' S,50° 8' 38'' W
66,SBPJ,TO0001,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,10° 17' 24'' S,48° 21' 28'' W
67,SBPK,RS0005,JOÃO SIMÕES LOPES NETO,PELOTAS,RS,31° 42' 58'' S,52° 19' 52'' W
68,SBPL,PE0002,AEROPORTO INTERNACIONAL SENADOR NILO COELHO,PETROLINA,PE,9° 22' 3'' S,40° 33' 49'' W
69,SBPS,BA0002,PORTO SEGURO,PORTO SEGURO,BA,16° 26' 17'' S,39° 4' 40'' W
70,SBPV,RO0001,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,8° 42' 49'' S,63° 54' 10'' W
72,SBRD,MT0004,RONDONÓPOLIS - MAESTRO MARINHO FRANCO,RONDONÓPOLIS,MT,16° 35' 17'' S,54° 43' 18'' W
73,SBRF,PE0001,AEROPORTO INTERNACIONAL RECIFE/GUARARAPES - GILBERTO FREYRE,RECIFE,PE,8° 7' 35'' S,34° 55' 22'' W
74,SBRJ,RJ0002,SANTOS DUMONT,RIO DE JANEIRO,RJ,22° 54' 36'' S,43° 9' 45'' W
75,SBRP,SP0004,LEITE LOPES,RIBEIRÃO PRETO,SP,21° 8' 11'' S,47° 46' 36'' W
76,SBSG,RN0001,AEROPORTO INTERNACIONAL DO RIO GRANDE DO NORTE / SÃO GONÇALO DO AMARANTE - GOVERNADOR ALUIZIO ALVES,NATAL,RN,5° 46' 8'' S,35° 21' 59'' W
77,SBSJ,SP0008,PROFESSOR URBANO ERNESTO STUMPF,SÃO JOSÉ DOS CAMPOS,SP,23° 13' 44'' S,45° 52' 16'' W
78,SBSL,MA0001,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,2° 35' 13'' S,44° 14' 10'' W
79,SBSM,RS0003,SANTA MARIA,SANTA MARIA,RS,29° 42' 39'' S,53° 41' 32'' W
80,SBSN,PA0002,MAESTRO WILSON FONSECA,SANTARÉM,PA,2° 25' 29'' S,54° 47' 9'' W
81,SBSO,MT0005,REGIONAL DE SORRISO ADOLINO BEDIN,SORRISO,MT,12° 28' 22'' S,55° 40' 8'' W
82,SBSP,SP0001,SÃO PAULO/CONGONHAS - DEPUTADO FREITAS NOBRE,SÃO PAULO,SP,23° 37' 34'' S,46° 39' 23'' W
83,SBSR,SP0006,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,20° 49' 2'' S,49° 24' 25'' W
84,SBSV,BA0001,DEPUTADO LUÍS EDUARDO MAGALHÃES,SALVADOR,BA,12° 54' 31'' S,38° 19' 21'' W
85,SBTD,PR0008,LUIZ DALCANALE FILHO,TOLEDO,PR,24° 41' 7'' S,53° 41' 47'' W
86,SBTE,PI0001,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,5° 3' 38'' S,42° 49' 28'' W
87,SBTF,AM0004,PREFEITO ORLANDO MARINHO,TEFÉ,AM,3° 22' 49'' S,64° 43' 31'' W
88,SBTG,MS0006,TRÊS LAGOAS,TRÊS LAGOAS,MS,20° 45' 5'' S,51° 40' 49'' W
89,SBTT,AM0005,TABATINGA,TABATINGA,AM,4° 15' 2'' S,69° 56' 16'' W
90,SBUF,BA0007,PAULO AFONSO,PAULO AFONSO,BA,9° 24' 4'' S,38° 15' 4'' W
91,SBUG,RS0012,RUBEM BERTA,URUGUAIANA,RS,29° 47' 0'' S,57° 2' 13'' W
92,SBUL,MG0002,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,18° 53' 1'' S,48° 13' 31'' W
93,SBUR,MG0009,MARIO DE ALMEIDA FRANCO,UBERABA,MG,19° 45' 53'' S,47° 57' 58'' W
94,SBVG,MG0019,MAJOR BRIGADEIRO TROMPOWSKY,VARGINHA,MG,21° 35' 20'' S,45° 28' 24'' W
95,SBVH,RO0003,VILHENA,VILHENA,RO,12° 41' 40'' S,60° 5' 54'' W
96,SBVT,ES0001,EURICO DE AGUIAR SALLES,VITÓRIA,ES,20° 15' 29'' S,40° 17' 11'' W
