cod_ICAO,CÓDIGO OACI,CIAD,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE
224,SDXF,GO0020,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,GO,14° 7' 9'' S,47° 31' 49'' W
225,SDXJ,MS0017,COSTA RICA,COSTA RICA,MS,18° 29' 29'' S,53° 10' 6'' W
226,SDZG,CE0008,PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ,TAUÁ,CE,5° 56' 0'' S,40° 17' 51'' W
227,SI68,MT0612,GELINDO STEFANUTO,CAMPO NOVO DO PARECIS,MT,13° 43' 53'' S,57° 53' 30'' W
228,SIBU,PB0012,JERÔNIMO SÉRGIO ROSADO MAIA,CATOLÉ DO ROCHA,PB,6° 21' 45'' S,37° 45' 19'' W
229,SIBW,PB0008,CONCEIÇÃO,CONCEIÇÃO,PB,7° 33' 45'' S,38° 29' 51'' W
230,SIBY,PB0009,LOURIVAL NUNES DE FARIAS,MONTEIRO,PB,7° 52' 42'' S,37° 8' 12'' W
231,SIBZ,PB0010,ITAPORANGA,ITAPORANGA,PB,7° 18' 40'' S,38° 6' 49'' W
232,SICB,PB0007,PEDRO SIMÕES PIMENTA,CUITÉ,PB,6° 29' 15'' S,36° 8' 24'' W
233,SILC,MT0025,AEROPORTO MUNICIPAL BOM FUTURO ,LUCAS DO RIO VERDE,MT,13° 2' 16'' S,55° 57' 1'' W
234,SIMK,SP0011,TENENTE LUND PRESSOTO,FRANCA,SP,20° 35' 25'' S,47° 22' 57'' W
235,SJ4Y,GO0028,MORRINHOS,MORRINHOS,GO,17° 45' 42'' S,49° 7' 18'' W
236,SJAU,TO0007,ARAGUACEMA,ARAGUACEMA,TO,8° 50' 16'' S,49° 33' 28'' W
237,SJBY,MA0007,JOÃO SILVA,SANTA INÊS,MA,3° 39' 16'' S,45° 20' 43'' W
238,SJGU,TO0005,ARAGUATINS,ARAGUATINS,TO,5° 41' 9'' S,48° 6' 51'' W
239,SJOG,RO0008,ARIQUEMES,ARIQUEMES,RO,9° 52' 50'' S,63° 2' 50'' W
240,SJQN,GO0006,QUIRINÓPOLIS,QUIRINÓPOLIS,GO,18° 26' 46'' S,50° 24' 33'' W
241,SJRG,RS0013,REGIONAL DE RIO GRANDE,RIO GRANDE,RS,32° 5' 1'' S,52° 10' 4'' W
242,SJTS,PA0028,TERRA SANTA,TERRA SANTA,PA,2° 4' 22'' S,56° 29' 20'' W
243,SJVO,GO0030,ARAGARÇAS,ARAGARÇAS,GO,15° 53' 58'' S,52° 14' 27'' W
244,SJXI,MG0311,SANTA RITA DO SAPUCAÍ,SANTA RITA DO SAPUCAÍ,MG,22° 16' 22'' S,45° 38' 24'' W
245,SJZA,PB0004,PEDRO VIEIRA MOREIRA,CAJAZEIRAS,PB,6° 52' 58'' S,38° 36' 57'' W
246,SN3Y,BA0251,NOVO AEROPORTO DE BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,13° 16' 21'' S,43° 18' 53'' W
247,SN6L,CE0164,DR. LUCIANO DE ARRUDA COELHO,SOBRAL,CE,3° 36' 53'' S,40° 13' 56'' W
248,SNAB,PE0009,ARARIPINA,ARARIPINA,PE,7° 35' 11'' S,40° 32' 7'' W
249,SNAE,PE0007,ARCOVERDE,ARCOVERDE,PE,8° 24' 28'' S,37° 5' 18'' W
250,SNAG,MG0020,ARAGUARI,ARAGUARI,MG,18° 40' 5'' S,48° 11' 25'' W
251,SNAL,AL0003,ARAPIRACA,ARAPIRACA,AL,9° 46' 35'' S,36° 37' 50'' W
252,SNAP,MG0021,JANAÚBA,JANAÚBA,MG,15° 43' 55'' S,43° 19' 23'' W
253,SNAR,MG0033,CIRILO QUEIRÓZ,ALMENARA,MG,16° 9' 57'' S,40° 41' 3'' W
254,SNAS,MG0022,TRÊS MARIAS,TRÊS MARIAS,MG,18° 13' 30'' S,45° 11' 26'' W
255,SNAX,SP0016,MARCELO PIRES HALZHAUSEN,ASSIS,SP,22° 38' 19'' S,50° 27' 21'' W
256,SNBA,SP0013,CHAFEI AMSEI,BARRETOS,SP,20° 35' 8'' S,48° 35' 45'' W
257,SNBC,MA0006,BARRA DO CORDA,BARRA DO CORDA,MA,5° 30' 9'' S,45° 12' 58'' W
258,SNBG,ES0005,BAIXO GUANDU - AIMORÉS,BAIXO GUANDU,ES,19° 29' 56'' S,41° 2' 31'' W
259,SNBI,MA0005,BACABAL,BACABAL,MA,4° 13' 41'' S,44° 49' 11'' W
260,SNBM,MG0051,CRISTIANO FERREIRA VARELLA,MURIAÉ,MG,21° 7' 34'' S,42° 23' 40'' W
261,SNBS,MA0010,BALSAS,BALSAS,MA,7° 31' 31'' S,46° 3' 12'' W
262,SNBX,BA0028,BARRA,BARRA,BA,11° 4' 52'' S,43° 8' 51'' W
263,SNBZ,BA0042,PARAMIRIM,PARAMIRIM,BA,13° 29' 26'' S,42° 13' 45'' W
264,SNCA,MG0031,CAMPO BELO,CAMPO BELO,MG,20° 53' 33'' S,45° 20' 8'' W
265,SNCP,SC0181,AEROPORTO REGIONAL DO PLANALTO SERRANO,LAGES,SC,27° 38' 3'' S,50° 21' 30'' W
266,SNCS,CE0009,CAMPOS SALES,CAMPOS SALES,CE,7° 3' 6'' S,40° 21' 30'' W
267,SNCT,MG0056,CARATINGA,UBAPORANGA,MG,19° 43' 31'' S,42° 6' 44'' W
268,SNCX,ES0004,COLATINA,COLATINA,ES,19° 29' 15'' S,40° 34' 46'' W
269,SNCZ,MG0059,PONTE NOVA,PONTE NOVA,MG,20° 24' 11'' S,42° 55' 0'' W
270,SNDC,PA0030,REDENÇÃO,REDENÇÃO,PA,8° 1' 52'' S,49° 58' 47'' W
271,SNDT,MG0030,JUSCELINO KUBITSCHEK,DIAMANTINA,MG,18° 13' 56'' S,43° 39' 1'' W
272,SNDV,MG0015,BRIGADEIRO ANTÔNIO CABRAL,DIVINÓPOLIS,MG,20° 10' 55'' S,44° 52' 12'' W
273,SNEB,PA0018,NAGIB DEMACHKI,PARAGOMINAS,PA,3° 1' 11'' S,47° 18' 59'' W
274,SNED,BA0023,SÓCRATES REZENDE,CANAVIEIRAS,BA,15° 39' 59'' S,38° 57' 19'' W
275,SNEE,RS0004,VACARIA NOVO,VACARIA,RS,28° 25' 55'' S,51° 1' 22'' W
276,SNFE,MG0012,COMANDANTE PASCHOAL PATROCÍNIO FILHO,ALFENAS,MG,21° 25' 53'' S,45° 55' 56'' W
277,SNFO,MG0060,FORMIGA,FORMIGA,MG,20° 23' 41'' S,45° 28' 59'' W
278,SNFU,MG0063,FRUTAL,FRUTAL,MG,20° 0' 17'' S,48° 57' 32'' W
279,SNFX,PA0013,SÃO FÉLIX DO XINGU,SÃO FÉLIX DO XINGU,PA,6° 38' 29'' S,51° 57' 8'' W
280,SNGA,ES0007,GUARAPARI,GUARAPARI,ES,20° 38' 47'' S,40° 29' 30'' W
281,SNGB,PI0011,GILBUÉS,GILBUÉS,PI,9° 50' 1'' S,45° 22' 2'' W
282,SNGD,PI0005,GUADALUPE,GUADALUPE,PI,6° 46' 59'' S,43° 34' 51'' W
283,SNGG,PI0007,BOM JESUS DO GURGUÉIA,BOM JESUS,PI,9° 3' 34'' S,44° 22' 9'' W
284,SNGI,BA0009,AERÓDROMO DE GUANAMBI,GUANAMBI,BA,14° 12' 29'' S,42° 44' 46'' W
285,SNGN,PE0006,GARANHUNS,GARANHUNS,PE,8° 50' 4'' S,36° 28' 17'' W
286,SNGX,MG0023,GUAXUPÉ,GUAXUPÉ,MG,21° 19' 36'' S,46° 43' 49'' W
287,SNHS,PE0005,SANTA MAGALHÃES,SERRA TALHADA,PE,8° 3' 41'' S,38° 19' 43'' W
288,SNIB,BA0045,ITABERABA,ITABERABA,BA,12° 29' 59'' S,40° 16' 13'' W
289,SNIC,BA0019,IRECÊ,IRECÊ,BA,11° 20' 24'' S,41° 50' 49'' W
290,SNIE,BA0020,CAETITÉ,CAETITÉ,BA,14° 0' 44'' S,42° 29' 38'' W
291,SNIG,CE0007,IGUATU,IGUATU,CE,6° 20' 48'' S,39° 17' 40'' W
292,SNIO,BA0010,CIPÓ,CIPÓ,BA,11° 7' 31'' S,38° 29' 13'' W
293,SNIP,BA0057,ITAPETINGA,ITAPETINGA,BA,15° 14' 40'' S,40° 16' 38'' W
294,SNIT,BA0046,IBOTIRAMA,IBOTIRAMA,BA,12° 10' 6'' S,43° 13' 21'' W
295,SNIU,BA0030,IPIAÚ,IPIAÚ,BA,14° 10' 24'' S,39° 41' 3'' W
296,SNJB,BA0062,JACOBINA,JACOBINA,BA,11° 9' 47'' S,40° 33' 12'' W
297,SNJK,BA0047,JEQUIÉ,JEQUIÉ,BA,13° 52' 40'' S,40° 4' 17'' W
298,SNJM,MG0050,ELIAS BREDER,MANHUAÇU,MG,20° 15' 35'' S,42° 11' 2'' W
299,SNJP,MG0036,JOÃO PINHEIRO,JOÃO PINHEIRO,MG,17° 47' 15'' S,46° 7' 13'' W
300,SNJQ,MG0053,JEQUITINHONHA,JEQUITINHONHA,MG,16° 26' 29'' S,41° 2' 14'' W
301,SNJR,MG0034,PREFEITO OCTÁVIO DE ALMEIDA NEVES,SÃO JOÃO DEL REI,MG,21° 5' 8'' S,44° 13' 31'' W
302,SNKD,MG0070,CONCEIÇÃO DO MATO DENTRO,CONCEIÇÃO DO MATO DENTRO,MG,19° 1' 7'' S,43° 26' 7'' W
303,SNKF,MG0071,DAS BANDEIRINHAS,CONSELHEIRO LAFAIETE,MG,20° 44' 19'' S,43° 47' 51'' W
304,SNKI,ES0006,AERÓDROMO DE CACHOEIRO DE ITAPEMIRIM,CACHOEIRO DE ITAPEMIRIM,ES,20° 50' 7'' S,41° 11' 11'' W
305,SNKN,RN0004,CURRAIS NOVOS,CURRAIS NOVOS,RN,6° 16' 51'' S,36° 32' 25'' W
306,SNKR,PI0012,CORRENTE,CORRENTE,PI,10° 27' 7'' S,45° 8' 11'' W
307,SNLI,MG0040,ABAETÉ,ABAETÉ,MG,19° 9' 21'' S,45° 29' 42'' W
308,SNLN,ES0002,MUNICIPAL DE LINHARES,LINHARES,ES,19° 21' 19'' S,40° 4' 17'' W
309,SNLO,MG0037,SÃO LOURENÇO,SÃO LOURENÇO,MG,22° 5' 27'' S,45° 2' 40'' W
310,SNLT,PI0010,PAULISTANA,PAULISTANA,PI,8° 9' 59'' S,41° 9' 14'' W
311,SNMA,PA0019,MONTE ALEGRE,MONTE ALEGRE,PA,1° 59' 48'' S,54° 4' 17'' W
312,SNMH,GO0018,PIRENÓPOLIS,PIRENÓPOLIS,GO,15° 50' 55'' S,48° 58' 58'' W
313,SNMJ,BA0031,MARACÁS,MARACÁS,BA,13° 23' 10'' S,40° 27' 58'' W
314,SNMK,MG0017,MOCAMBINHO,JAÍBA,MG,15° 5' 35'' S,43° 58' 45'' W
315,SNMN,MG0075,MINAS NOVAS,MINAS NOVAS,MG,17° 15' 50'' S,42° 32' 21'' W
316,SNMR,BA0065,MARAÚ,MARAÚ,BA,14° 8' 36'' S,39° 0' 24'' W
317,SNMX,ES0003,SÃO MATEUS,SÃO MATEUS,ES,18° 43' 17'' S,39° 50' 1'' W
318,SNNE,MG0078,SEBASTIÃO CARLOS LEITE,SÃO JOÃO NEPOMUCENO,MG,21° 32' 32'' S,43° 1' 16'' W
319,SNNU,MG0041,NANUQUE,NANUQUE,MG,17° 49' 23'' S,40° 19' 47'' W
320,SNOE,PI0008,OEIRAS,OEIRAS,PI,7° 1' 8'' S,42° 10' 2'' W
321,SNOF,MG0057,OURO FINO,OURO FINO,MG,22° 17' 50'' S,46° 23' 33'' W
322,SNOS,MG0024,MUNICIPAL JOSÉ FIGUEIREDO,PASSOS,MG,20° 43' 55'' S,46° 39' 43'' W
323,SNOX,PA0014,ORIXIMINÁ,ORIXIMINÁ,PA,1° 42' 49'' S,55° 50' 9'' W
324,SNPA,MG0052,PARÁ DE MINAS,PARÁ DE MINAS,MG,19° 50' 33'' S,44° 36' 3'' W
325,SNPC,PI0009,PICOS,PICOS,PI,7° 3' 41'' S,41° 31' 33'' W
326,SNPD,MG0010,PATOS DE MINAS,PATOS DE MINAS,MG,18° 40' 20'' S,46° 29' 29'' W
327,SNPJ,MG0042,PATROCÍNIO,PATROCÍNIO,MG,18° 54' 33'' S,46° 58' 58'' W
328,SNPQ,PE0010,PESQUEIRA,PESQUEIRA,PE,8° 22' 29'' S,36° 38' 16'' W
329,SNPU,MG0073,COMANDANTE VIRGILIO BORIM,PARAGUAÇU,MG,21° 33' 41'' S,45° 45' 17'' W
330,SNPX,MG0028,PIRAPORA,PIRAPORA,MG,17° 18' 50'' S,44° 51' 31'' W
331,SNPY,MG0013,SÃO SEBASTIÃO DO PARAÍSO,SÃO SEBASTIÃO DO PARAÍSO,MG,20° 56' 54'' S,46° 58' 59'' W
332,SNQD,PB0006,SOUSA,SOUSA,PB,6° 47' 8'' S,38° 14' 2'' W
333,SNQG,PI0003,CANGAPARA,FLORIANO,PI,6° 50' 46'' S,43° 4' 41'' W
334,SNQU,BA0032,MUCUGÊ,MUCUGÊ,BA,13° 1' 54'' S,41° 26' 40'' W
335,SNQV,MG0044,CURVELO,CURVELO,MG,18° 44' 58'' S,44° 27' 29'' W
336,SNQX,CE0010,QUIXADÁ,QUIXADÁ,CE,4° 58' 44'' S,38° 59' 16'' W
337,SNRD,BA0048,PRADO,PRADO,BA,17° 17' 49'' S,39° 16' 19'' W
338,SNRM,BA0022,REMANSO,REMANSO,BA,9° 34' 48'' S,42° 6' 57'' W
339,SNRP,MG0066,RIO PARANAÍBA,RIO PARANAÍBA,MG,19° 12' 45'' S,46° 14' 26'' W
340,SNRU,PE0004,CARUARU,CARUARU,PE,8° 17' 4'' S,36° 0' 39'' W
341,SNRX,MA0009,RIACHÃO,RIACHÃO,MA,7° 20' 47'' S,46° 37' 39'' W
342,SNRZ,MG0049,OLIVEIRA,OLIVEIRA,MG,20° 42' 52'' S,44° 51' 55'' W
343,SNSE,BA0056,SENTO SÉ,SENTO SÉ,BA,9° 45' 27'' S,41° 51' 18'' W
344,SNSG,PE0008,SALGUEIRO,SALGUEIRO,PE,8° 2' 48'' S,39° 8' 2'' W
345,SNSI,MG0076,SANTA MARIA DO SUAÇUÍ,SANTA MARIA DO SUAÇUÍ,MG,18° 11' 55'' S,42° 27' 58'' W
346,SNSM,PA0029,SALINÓPOLIS,SALINÓPOLIS,PA,0° 41' 47'' S,47° 20' 12'' W
347,SNSS,MG0029,SALINAS,SALINAS,MG,16° 12' 30'' S,42° 19' 19'' W
348,SNTI,PA0016,ÓBIDOS,ÓBIDOS,PA,1° 52' 5'' S,55° 30' 52'' W
349,SNTO,MG0048,JUSCELINO KUBITSCHECK,TEÓFILO OTONI,MG,17° 53' 27'' S,41° 30' 54'' W
350,SNTQ,BA0053,BURITIRAMA,BURITIRAMA,BA,10° 43' 18'' S,43° 39' 13'' W
351,SNTS,PB0005,BRIGADEIRO FIRMINO AYRES,PATOS,PB,7° 2' 16'' S,37° 15' 27'' W
352,SNUB,MG0058,UBÁ,UBÁ,MG,21° 7' 12'' S,42° 53' 1'' W
353,SNUH,MG0054,PIUMHI,PIUMHI,MG,20° 26' 20'' S,45° 59' 32'' W
354,SNUI,MG0045,ARAÇUAÍ,ARAÇUAÍ,MG,16° 51' 7'' S,42° 2' 46'' W
355,SNUN,MG0055,UNAÍ,UNAÍ,MG,16° 21' 14'' S,46° 55' 37'' W
356,SNVC,MG0074,VIÇOSA,VIÇOSA,MG,20° 44' 42'' S,42° 50' 29'' W
357,SNVD,BA0050,SANTA MARIA DA VITÓRIA,SANTA MARIA DA VITÓRIA,BA,13° 24' 17'' S,44° 13' 23'' W
358,SNVI,MG0035,MELLO VIANA,TRÊS CORAÇÕES,MG,21° 47' 21'' S,45° 16' 5'' W
359,SNWC,CE0011,CAMOCIM,CAMOCIM,CE,2° 53' 45'' S,40° 51' 32'' W
360,SNWS,CE0005,CRATEÚS,CRATEÚS,CE,5° 12' 40'' S,40° 42' 15'' W
361,SNXB,MG0025,CAXAMBU,CAXAMBU,MG,21° 55' 3'' S,44° 58' 10'' W
362,SNXQ,BA0018,XIQUE-XIQUE,XIQUE-XIQUE,BA,10° 50' 3'' S,42° 41' 0'' W
363,SNYB,MG0047,TITO TEIXEIRA,ITUIUTABA,MG,19° 0' 5'' S,49° 29' 14'' W
364,SNYE,MA0004,PINHEIRO,PINHEIRO,MA,2° 28' 39'' S,45° 6' 18'' W
365,SNYU,MG0014,ITURAMA,ITURAMA,MG,19° 43' 2'' S,50° 13' 13'' W
366,SNZA,MG0038,POUSO ALEGRE,POUSO ALEGRE,MG,22° 17' 20'' S,45° 55' 10'' W
367,SNZR,MG0026,PEDRO RABELO DE SOUZA,PARACATU,MG,17° 14' 34'' S,46° 52' 59'' W
368,SSAB,PR0024,MOISÉS LUPION,IBAITI,PR,23° 45' 46'' S,50° 15' 47'' W
369,SSAE,RS0040,ARROIO GRANDE,ARROIO GRANDE,RS,32° 13' 45'' S,53° 3' 21'' W
370,SSAK,RS0048,CARLOS RUHL,CRUZ ALTA,RS,28° 39' 31'' S,53° 36' 41'' W
371,SSAN,PR0032,JOÃO GALDINO,ANDIRÁ,PR,23° 1' 38'' S,50° 13' 37'' W
372,SSAP,PR0014,CAPITÃO JOÃO BUSSE,APUCARANA,PR,23° 36' 44'' S,51° 23' 6'' W
373,SSAQ,RS0036,AEROCLUBE DE PASSO FUNDO,PASSO FUNDO,RS,28° 15' 2'' S,52° 31' 0'' W
374,SSBL,SC0019,BLUMENAU,BLUMENAU,SC,26° 49' 54'' S,49° 5' 37'' W
375,SSBN,RS0002,BELÉM NOVO,PORTO ALEGRE,RS,30° 11' 21'' S,51° 10' 57'' W
376,SSBV,MS0011,BELA VISTA,BELA VISTA,MS,22° 4' 56'' S,56° 32' 18'' W
377,SSCB,SP0044,MUNICIPAL DE CASA BRANCA,CASA BRANCA,SP,21° 47' 17'' S,47° 3' 20'' W
378,SSCD,MS0007,CHAPADÃO DO SUL,CHAPADÃO DO SUL,MS,18° 50' 21'' S,52° 29' 17'' W
379,SSCI,MS0012,COXIM,COXIM,MS,18° 28' 53'' S,54° 42' 57'' W
380,SSCK,SC0010,OLAVO CECCO RIGON,CONCÓRDIA,SC,27° 10' 50'' S,52° 3' 4'' W
381,SSCL,MS0018,CASSILÂNDIA,CASSILÂNDIA,MS,19° 8' 49'' S,51° 40' 35'' W
382,SSCN,RS0019,CANELA,CANELA,RS,29° 22' 14'' S,50° 49' 56'' W
383,SSCP,PR0015,FRANCISCO LACERDA JÚNIOR,CORNÉLIO PROCÓPIO,PR,23° 9' 9'' S,50° 36' 9'' W
384,SSCR,PR0016,RUBEN BERTA,MARECHAL CÂNDIDO RONDON,PR,24° 30' 46'' S,54° 3' 17'' W
385,SSCT,PR0025,ENGENHEIRO GASTÃO DE MESQUITA FILHO,CIANORTE,PR,23° 41' 30'' S,52° 38' 32'' W
386,SSEE,RS0054,REGIONAL DO VALE DO TAQUARI,ESTRELA,RS,29° 27' 12'' S,51° 56' 3'' W
387,SSEP,RS0031,SÃO SEPÉ,SÃO SEPÉ,RS,30° 10' 56'' S,53° 34' 46'' W
388,SSER,RS0018,ERECHIM,ERECHIM,RS,27° 39' 48'' S,52° 16' 19'' W
389,SSEZ,RS0050,ESPUMOSO,ESPUMOSO,RS,28° 44' 17'' S,52° 51' 20'' W
390,SSFB,PR0021,PAULO ABDALA,FRANCISCO BELTRÃO,PR,26° 3' 32'' S,53° 3' 48'' W
391,SSFL,PI0006,JOÃO PEREIRA DOS SANTOS FILHO,FRONTEIRAS,PI,7° 6' 0'' S,40° 37' 42'' W
392,SSGA,RS0020,GARIBALDI,GARIBALDI,RS,29° 16' 6'' S,51° 31' 56'' W
393,SSGB,PR0035,MUNICIPAL DE GUARATUBA,GUARATUBA,PR,25° 52' 50'' S,48° 36' 44'' W
394,SSGG,PR0009,AEROPORTO REGIONAL DE GUARAPUAVA - TANCREDO THOMÁS DE FARIA,GUARAPUAVA,PR,25° 23' 18'' S,51° 31' 25'' W
395,SSGW,PR0037,MANOEL RIBAS,GOIOERÊ,PR,24° 13' 11'' S,53° 2' 38'' W
396,SSGY,PR0023,GUAÍRA,GUAÍRA,PR,24° 4' 47'' S,54° 11' 17'' W
397,SSHZ,RS0037,WALTER BÜNDCHEN,HORIZONTINA,RS,27° 38' 18'' S,54° 20' 20'' W
398,SSIE,MS0002,TERUEL IPANEMA ESTÂNCIA,CAMPO GRANDE,MS,20° 36' 14'' S,54° 35' 43'' W
399,SSIJ,RS0032,IJUÍ,IJUÍ,RS,28° 22' 7'' S,53° 50' 47'' W
400,SSIM,SC0009,FORQUILHINHA-CRICIÚMA,FORQUILHINHA,SC,28° 43' 33'' S,49° 25' 29'' W
401,SSIQ,RS0045,ITAQUI,ITAQUI,RS,29° 10' 19'' S,56° 32' 18'' W
402,SSIR,RS0049,IBIRUBÁ,IBIRUBÁ,RS,28° 36' 15'' S,53° 4' 43'' W
403,SSJA,SC0014,SANTA TEREZINHA,JOAÇABA,SC,27° 10' 22'' S,51° 33' 6'' W
404,SSJI,MS0019,JARDIM,JARDIM,MS,21° 29' 34'' S,56° 9' 9'' W
405,SSJK,RS0028,JÚLIO DE CASTILHOS,JÚLIO DE CASTILHOS,RS,29° 9' 11'' S,53° 44' 36'' W
406,SSKG,MS0003,ESTÂNCIA SANTA MARIA,CAMPO GRANDE,MS,20° 30' 20'' S,54° 31' 29'' W
407,SSKK,RS0052,CAPÃO DA CANOA,CAPÃO DA CANOA,RS,29° 45' 49'' S,50° 2' 13'' W
408,SSKM,PR0017,CAMPO MOURÃO,CAMPO MOURÃO,PR,24° 0' 9'' S,52° 21' 25'' W
409,SSKS,RS0039,BRIGADEIRO NERO MOURA,CACHOEIRA DO SUL,RS,30° 0' 8'' S,52° 56' 25'' W
410,SSKU,SC0016,LAURO ANTÔNIO DA COSTA,CURITIBANOS,SC,27° 17' 14'' S,50° 36' 14'' W
411,SSKZ,RS0009,CARAZINHO,CARAZINHO,RS,28° 19' 18'' S,52° 49' 0'' W
412,SSLG,RS0021,SÃO LUIZ GONZAGA,SÃO LUIZ GONZAGA,RS,28° 22' 35'' S,55° 2' 15'' W
413,SSLN,SC0018,HELMUTH BAUNGARTEM,LONTRAS,SC,27° 9' 35'' S,49° 32' 34'' W
414,SSLO,PR0031,ATTILLIO ACCORSI,LOANDA,PR,22° 55' 4'' S,53° 8' 59'' W
415,SSLT,RS0022,GAUDÊNCIO MACHADO RAMOS,ALEGRETE,RS,29° 48' 45'' S,55° 53' 36'' W
416,SSMJ,MS0020,MARACAJU,MARACAJU,MS,21° 38' 2'' S,55° 8' 42'' W
417,SSMR,PR0026,MANOEL RIBAS,MANOEL RIBAS,PR,24° 31' 46'' S,51° 39' 6'' W
418,SSMT,RS0044,MOSTARDAS,MOSTARDAS,RS,31° 6' 4'' S,50° 54' 29'' W
419,SSNB,MS0015,ARIOSTO DA RIVA,NAVIRAÍ,MS,23° 2' 3'' S,54° 10' 40'' W
420,SSNG,RS0046,HELIO ALVES DE OLIVEIRA,MONTENEGRO,RS,29° 43' 11'' S,51° 29' 20'' W
421,SSNH,RS0023,NOVO HAMBURGO,NOVO HAMBURGO,RS,29° 41' 57'' S,51° 4' 55'' W
422,SSNP,RS0041,ILMO ALOÍSIO BLUME,NOVA PRATA,RS,28° 48' 14'' S,51° 36' 8'' W
423,SSNQ,MS0016,NIOAQUE,NIOAQUE,MS,21° 11' 4'' S,55° 49' 52'' W
424,SSOE,SC0015,HÉLIO WASUM,SÃO MIGUEL DO OESTE,SC,26° 46' 52'' S,53° 30' 12'' W
425,SSOG,PR0027,ARAPONGAS,ARAPONGAS,PR,23° 21' 10'' S,51° 29' 30'' W
426,SSOI,SP0043,PEDERNEIRAS,PEDERNEIRAS,SP,22° 18' 26'' S,48° 46' 23'' W
427,SSOL,MG0027,PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO),LAVRAS,MG,21° 14' 26'' S,44° 57' 51'' W
428,SSOS,RS0042,OSÓRIO,OSÓRIO,RS,29° 54' 8'' S,50° 14' 57'' W
429,SSPG,PR0011,SANTOS DUMONT,PARANAGUÁ,PR,25° 32' 25'' S,48° 31' 52'' W
430,SSPI,PR0010,EDU CHAVES,PARANAVAÍ,PR,23° 5' 24'' S,52° 29' 19'' W
431,SSPL,RS0043,PALMEIRA DAS MISSÕES,PALMEIRA DAS MISSÕES,RS,27° 54' 6'' S,53° 19' 48'' W
432,SSPM,MS0013,PORTO MURTINHO,PORTO MURTINHO,MS,21° 42' 46'' S,57° 52' 45'' W
433,SSPN,MS0010,PARANAÍBA,PARANAÍBA,MS,19° 39' 4'' S,51° 11' 58'' W
434,SSPS,PR0036,DIMORVAN CARRARO,PALMAS,PR,26° 28' 20'' S,51° 58' 32'' W
435,SSPT,PR0028,BRASÍLIO MARQUES,PALOTINA,PR,24° 20' 36'' S,53° 49' 43'' W
436,SSQC,PR0029,AGUINALDO PEREIRA LIMA,SIQUEIRA CAMPOS,PR,23° 40' 29'' S,49° 48' 56'' W
437,SSQP,BA0061,MONTE SANTO,MONTE SANTO,BA,10° 27' 55'' S,39° 17' 10'' W
438,SSQT,PR0013,MAJOR NEODO S. PEREIRA,CASTRO,PR,24° 48' 27'' S,49° 57' 34'' W
439,SSRE,PR0030,REALEZA,REALEZA,PR,25° 48' 4'' S,53° 30' 47'' W
440,SSRF,BA0034,CASTRO ALVES,CASTRO ALVES,BA,12° 46' 4'' S,39° 26' 41'' W
441,SSRG,SP0030,AEROPORTO ESTADUAL DE REGISTRO,REGISTRO,SP,24° 31' 54'' S,47° 50' 25'' W
442,SSRS,MA0008,BARREIRINHAS,BARREIRINHAS,MA,2° 45' 24'' S,42° 48' 12'' W
443,SSRU,RS0034,SÃO LOURENÇO DO SUL,SÃO LOURENÇO DO SUL,RS,31° 23' 5'' S,52° 1' 57'' W
444,SSRZ,RS0024,DÁRIO BRASIL CAPOANO DE OLIVEIRA,ROSÁRIO DO SUL,RS,30° 16' 39'' S,54° 55' 31'' W
445,SSSB,RS0014,SÃO BORJA,SÃO BORJA,RS,28° 39' 17'' S,56° 2' 5'' W
446,SSSC,RS0029,SANTA CRUZ DO SUL,SANTA CRUZ DO SUL,RS,29° 41' 3'' S,52° 24' 44'' W
447,SSSD,RS0017,SOLEDADE,SOLEDADE,RS,28° 51' 48'' S,52° 32' 26'' W
448,SSSG,RS0035,SÃO GABRIEL,SÃO GABRIEL,RS,30° 20' 42'' S,54° 16' 4'' W
449,SSSS,SC0022,SÃO FRANCISCO DO SUL,SÃO FRANCISCO DO SUL,SC,26° 13' 16'' S,48° 33' 52'' W
450,SSST,RS0015,SANTIAGO,SANTIAGO,RS,29° 12' 54'' S,54° 50' 30'' W
451,SSSZ,PR0033,SERTANÓPOLIS,SERTANÓPOLIS,PR,23° 3' 43'' S,51° 0' 50'' W
452,SSTB,SC0013,TRÊS BARRAS,TRÊS BARRAS,SC,26° 7' 58'' S,50° 18' 35'' W
453,SSTE,RS0011,TORRES,TORRES,RS,29° 24' 54'' S,49° 48' 36'' W
454,SSUM,PR0019,ORLANDO DE CARVALHO,UMUARAMA,PR,23° 47' 57'' S,53° 18' 50'' W
455,SSUV,PR0034,JOSÉ CLETO,UNIÃO DA VITÓRIA,PR,26° 13' 55'' S,51° 4' 3'' W
456,SSVI,SC0011,ÂNGELO PONZONI,VIDEIRA,SC,26° 59' 59'' S,51° 8' 29'' W
457,SSVL,PR0007,TELÊMACO BORBA (SBTL*),TELÊMACO BORBA,PR,24° 18' 59'' S,50° 39' 8'' W
458,SSVN,RS0030,VERANÓPOLIS,VERANÓPOLIS,RS,28° 56' 8'' S,51° 34' 4'' W
